1021.711,1131.263,22.704,0.388,21.837,0.168,20.18,0.079,19.217,0.06,18.291,0.047,17.036,0.065,16.159,0.049,16.091,0.046,0
776.801,999.815,22.297,0.387,21.646,0.168,20.017,0.078,19.091,0.06,18.192,0.047,17.096,0.065,16.206,0.049,16.015,0.046,0
1501.422,753.373,23.571,0.385,21.799,0.168,20.15,0.078,19.195,0.06,18.22,0.047,16.912,0.065,16.181,0.049,15.987,0.046,0
959.277,956.26,23.331,0.384,21.67,0.167,20.087,0.078,19.105,0.06,18.272,0.047,17.058,0.064,16.299,0.049,15.966,0.046,0
1386.6,1090.919,23.226,0.383,21.509,0.167,20.195,0.078,19.066,0.06,18.235,0.047,17.016,0.064,16.213,0.049,16.102,0.046,0
994.596,974.028,23.413,0.381,21.859,0.166,20.109,0.078,19.225,0.06,18.256,0.047,17.108,0.064,16.301,0.049,16.026,0.046,0
952.968,1115.131,22.458,0.38,21.852,0.166,20.198,0.078,19.062,0.059,18.282,0.047,17.027,0.064,16.212,0.049,15.984,0.046,0
1150.968,945.848,22.825,0.378,22.179,0.166,20.1,0.078,19.269,0.059,18.262,0.047,16.942,0.064,16.221,0.049,16.024,0.046,0
1168.961,1175.221,23.563,0.377,21.77,0.165,20.042,0.078,19.267,0.059,18.255,0.046,16.984,0.064,16.221,0.049,16.038,0.046,0
1043.949,1254.832,23.44,0.376,21.376,0.165,20.105,0.077,19.259,0.059,18.266,0.046,17.045,0.064,16.22,0.049,16.03,0.046,0
887.71,669.636,22.776,0.374,21.369,0.165,20.109,0.077,19.162,0.059,18.268,0.046,16.949,0.064,16.235,0.049,16.006,0.046,0
1183.191,1247.791,23.527,0.373,21.568,0.164,20.139,0.077,19.114,0.059,18.241,0.046,16.917,0.064,16.24,0.049,15.971,0.045,0
930.111,977.957,23.001,0.372,21.272,0.164,20.054,0.077,19.128,0.059,18.205,0.046,16.97,0.064,16.258,0.049,16.038,0.045,0
1160.007,1293.505,22.451,0.37,21.545,0.163,20.16,0.077,19.167,0.059,18.272,0.046,17.061,0.064,16.223,0.049,16.026,0.045,0
1043.49,1339.325,21.947,0.369,21.627,0.163,20.176,0.077,19.081,0.059,18.284,0.046,16.954,0.064,16.28,0.049,15.967,0.045,0
1381.009,1066.268,21.833,0.368,21.654,0.163,20.056,0.077,19.146,0.059,18.225,0.046,16.995,0.064,16.246,0.049,15.979,0.045,0
932.078,601.774,22.815,0.366,21.687,0.162,20.131,0.077,19.117,0.059,18.164,0.046,16.957,0.063,16.13,0.048,16.042,0.045,0
1547.726,946.862,22.327,0.365,21.784,0.162,20.098,0.076,19.088,0.059,18.3,0.046,17.007,0.063,16.175,0.048,15.963,0.045,0
1237.646,1150.767,23.37,0.364,21.554,0.162,19.994,0.076,19.239,0.059,18.173,0.046,16.937,0.063,16.161,0.048,15.973,0.045,0
1261.334,1040.054,22.669,0.362,21.729,0.161,20.085,0.076,19.154,0.058,18.131,0.046,16.906,0.063,16.238,0.048,15.969,0.045,0
592.575,1107.084,23.385,0.361,21.793,0.161,20.068,0.076,19.299,0.058,18.274,0.046,17.016,0.063,16.189,0.048,15.971,0.045,0
1022.493,1070.481,22.738,0.36,21.668,0.16,20.06,0.076,19.153,0.058,18.147,0.046,16.907,0.063,16.209,0.048,15.908,0.045,0
1369.654,1446.384,23.335,0.358,21.905,0.16,20.192,0.076,19.082,0.058,18.196,0.046,16.897,0.063,16.172,0.048,16.021,0.045,0
